verb,level,freq,sources
differentiate,An,20,newton2020+sharunova+stanny2016
diminish,Ap,2,sharunova
direct,An,1,sharunova
discover,Ap,9,sharunova+stanny2016
discover,An,4,sharunova+stanny2016
discriminate,An,11,newton2020+sharunova+stanny2016
discriminate,Ev,9,sharunova+stanny2016
discuss,Cm,21,newton2020+sharunova+stanny2016
discuss,Ev,1,sharunova
dissect,Ap,1,sharunova
dissect,An,6,sharunova+stanny2016
distinguish,Cm,12,sharunova+stanny2016
distinguish,An,21,newton2020+sharunova+stanny2016
divide,Ap,1,sharunova
divide,An,12,sharunova+stanny2016
document,An,2,sharunova
document,Sn,1,sharunova
dramatize,Ap,16,sharunova+stanny2016
dramatize,An,1,sharunova
draw,Kn,5,sharunova+stanny2016
draw,Cm,1,sharunova
draw,Ap,4,sharunova
duplicate,Kn,7,sharunova+stanny2016
edit,An,1,sharunova
elaborate,Cm,3,sharunova
employ,Ap,16,sharunova+stanny2016
employ,An,1,sharunova
enforce,Ev,1,sharunova
engineer,Ap,1,sharunova
enhance,Sn,2,sharunova
ensure,An,2,sharunova
enumerate,Kn,6,sharunova
establish,Ap,3,sharunova
establish,An,1,sharunova
establish,Sn,1,sharunova
estimate,Cm,11,sharunova+stanny2016
estimate,Sn,5,sharunova+stanny2016
estimate,Ev,15,sharunova+stanny2016
evaluate,An,4,stanny2016
evaluate,Sn,4,stanny2016
evaluate,Ev,17,newton2020+sharunova+stanny2016
examine,Kn,1,sharunova
examine,Ap,5,sharunova
examine,An,18,newton2020+sharunova+stanny2016
example,Cm,3,sharunova
examples,Cm,1,sharunova
exchange,Sn,1,sharunova
execute,Ap,1,sharunova
exercise,Ap,2,sharunova
exhibit,Ap,1,sharunova
expand,Ap,1,sharunova
expand,Sn,1,sharunova
experiment,Ap,6,sharunova+stanny2016
experiment,An,9,newton2020+sharunova+stanny2016
explain,Cm,28,newton2020+sharunova+stanny2016
explain,Ap,5,stanny2016
explain,An,5,sharunova
explain,Sn,8,sharunova+stanny2016
explain,Ev,9,sharunova+stanny2016
explore,Ap,2,sharunova
explore,An,2,sharunova
expose,Ap,2,sharunova
express,Cm,17,sharunova+stanny2016
express,Ap,2,sharunova
express,Sn,2,sharunova
extend,Cm,11,sharunova+stanny2016
extend,Ap,1,sharunova
extract,An,1,sharunova
extrapolate,Cm,5,sharunova+stanny2016
extrapolate,An,1,sharunova
facilitate,Sn,4,sharunova+stanny2016
factor,Cm,2,sharunova
factor,Ap,2,sharunova
figure,Ap,2,sharunova
figure,An,4,stanny2016
figure out,An,2,sharunova
file,An,2,sharunova
find,Kn,2,sharunova
focus,An,1,sharunova
follow,Kn,1,sharunova
follow,Ap,1,sharunova
follow up,Ap,1,sharunova
forecast,Sn,1,sharunova
format,Sn,3,sharunova
formulate,Sn,18,newton2020+sharunova+stanny2016
frame,Sn,1,sharunova
gather,Sn,1,sharunova
generalize,Cm,11,newton2020+sharunova+stanny2016
generalize,Ap,5,sharunova+stanny2016
generalize,Sn,7,sharunova+stanny2016
generate,Sn,11,sharunova+stanny2016
give,Cm,10,sharunova+stanny2016
grade,Ev,5,sharunova+stanny2016
graph,Ap,2,sharunova
group,Cm,1,sharunova
group,An,4,sharunova+stanny2016
guide,Ap,1,sharunova
handle,Ap,2,sharunova
handle,Sn,2,sharunova
hire,Ev,2,sharunova
hypothesize,Sn,8,sharunova+stanny2016
identify,Kn,20,sharunova+stanny2016
identify,Cm,14,sharunova+stanny2016
identify,Ap,4,stanny2016
identify,An,7,sharunova+stanny2016
illustrate,Cm,9,sharunova+stanny2016
illustrate,Ap,18,sharunova+stanny2016
illustrate,An,8,sharunova+stanny2016
imagine,Sn,1,sharunova
imitate,Kn,1,sharunova
imitate,Ap,1,sharunova
implement,Ap,4,sharunova+stanny2016
import,Sn,2,sharunova
improve,Sn,5,sharunova+stanny2016
include,Ap,1,sharunova
incorporate,Sn,4,sharunova
index,Kn,2,sharunova
indicate,Kn,4,sharunova+stanny2016
indicate,Cm,8,sharunova+stanny2016
individualize,Sn,1,sharunova
infer,Cm,15,sharunova+stanny2016
infer,An,14,newton2020+sharunova+stanny2016
infer,Ev,1,sharunova
inform,Ap,1,sharunova
initiate,Sn,2,sharunova
inquire,An,1,sharunova
inspect,Ap,1,sharunova
inspect,An,8,sharunova+stanny2016
instruct,Ap,1,sharunova
instruct,Sn,1,sharunova
integrate,Sn,5,sharunova+stanny2016
interact,Cm,2,sharunova
interconvert,Ap,2,sharunova
interface,Sn,2,sharunova
interpolate,Cm,5,sharunova+stanny2016
interpret,Cm,17,sharunova+stanny2016
interpret,Ap,15,sharunova+stanny2016
interpret,An,1,sharunova
interpret,Ev,7,sharunova
interrelate,Cm,1,sharunova
interrupt,An,2,sharunova
intervene,Sn,1,sharunova
interview,Ap,6,sharunova+stanny2016
invent,Sn,10,sharunova+stanny2016
invent,Ev,8,stanny2016
inventory,Ap,1,sharunova
inventory,An,9,sharunova+stanny2016
investigate,Ap,4,sharunova
investigate,An,7,sharunova+stanny2016
isolate,An,1,sharunova
join,Sn,2,sharunova
judge,Ev,25,newton2020+sharunova+stanny2016
justify,Ev,14,newton2020+sharunova
know,Kn,2,sharunova
label,Kn,21,newton2020+sharunova+stanny2016
lay out,An,2,sharunova
layout,An,1,sharunova
lecture,Sn,2,sharunova
limit,An,3,sharunova
link,An,1,sharunova
list,Kn,43,newton2020+sharunova+stanny2016
locate,Kn,10,sharunova+stanny2016
locate,Cm,10,newton2020+sharunova+stanny2016
maintain,Ap,1,sharunova
make,Ap,2,sharunova
make,Sn,6,stanny2016
make sense of,Cm,1,sharunova
make up,Sn,1,sharunova
manage,An,3,sharunova
manage,Sn,8,sharunova+stanny2016
manage,Ev,15,stanny2016
manipulate,Ap,10,sharunova+stanny2016
manipulate,An,1,sharunova
match,Kn,14,sharunova+stanny2016
match,Cm,7,sharunova+stanny2016
maximize,An,2,sharunova
measure,Sn,1,sharunova
measure,Ev,9,sharunova
mediate,Ev,9,sharunova+stanny2016
meet,Kn,2,sharunova
memorize,Kn,10,sharunova+stanny2016
minimize,An,2,sharunova
model,Ap,1,sharunova
model,An,1,sharunova
model,Sn,3,sharunova
