verb,level,freq
negotiate,An,1
probe,An,1
accept,An,1
design,An,1
interpret,An,1
extract,An,1
manipulate,An,1
focus,An,1
write,An,1
predict,An,1
resolve,An,1
design,Sn,20
create,Sn,19
formulate,Sn,18
plan,Sn,17
compose,Sn,16
construct,Sn,16
develop,Sn,13
combine,Sn,12
assemble,Sn,12
propose,Sn,11
devise,Sn,10
arrange,Sn,10
organize,Sn,10
collect,Sn,10
rearrange,Sn,9
prepare,Sn,9
reconstruct,Sn,9
invent,Sn,9
generate,Sn,8
modify,Sn,8
write,Sn,8
categorize,Sn,7
rewrite,Sn,7
relate,Sn,7
compile,Sn,7
revise,Sn,7
reorganize,Sn,7
summarize,Sn,5
manage,Sn,5
generalize,Sn,5
integrate,Sn,5
explain,Sn,5
produce,Sn,5
originate,Sn,4
tell,Sn,4
incorporate,Sn,4
facilitate,Sn,4
hypothesize,Sn,4
substitute,Sn,3
specify,Sn,3
improve,Sn,3
format,Sn,3
correspond,Sn,3
model,Sn,3
depict,Sn,3
synthesize,Sn,3
refer,Sn,3
comply,Sn,3
enhance,Sn,2
import,Sn,2
overhaul,Sn,2
animate,Sn,2
predict,Sn,2
adapt,Sn,2
cultivate,Sn,2
code,Sn,2
join,Sn,2
handle,Sn,2
anticipate,Sn,2
portray,Sn,2
express,Sn,2
budget,Sn,2
cope,Sn,2
debug,Sn,2
perform,Sn,2
communicate,Sn,2
outline,Sn,2
prescribe,Sn,2
initiate,Sn,2
network,Sn,2
program,Sn,2
lecture,Sn,2
dictate,Sn,2
advise,Sn,1
document,Sn,1
gather,Sn,1
derive,Sn,1
abstract,Sn,1
expand,Sn,1
establish,Sn,1
collaborate,Sn,1
conduct,Sn,1
contribute,Sn,1
coordinate,Sn,1
compare,Sn,1
speculate,Sn,1
simulate,Sn,1
progress,Sn,1
forecast,Sn,1
instruct,Sn,1
structure,Sn,1
intervene,Sn,1
frame,Sn,1
measure,Sn,1
estimate,Sn,1
recommend,Sn,1
negotiate,Sn,1
consolidate,Sn,1
choose,Sn,1
contrast,Sn,1
imagine,Sn,1
individualize,Sn,1
recognize,Sn,1
solve,Sn,1
roleplay,Sn,1
review,Sn,1
arbitrate,Sn,1
teach,Sn,1
supervise,Sn,1
assess,Sn,1
counsel,Sn,1
exchange,Sn,1
brief,Sn,1
reinforce,Sn,1
unify,Sn,1
