verb,level,freq
lay out,Analysis,2
survey,Analysis,2
group,Analysis,2
minimize,Analysis,2
interrupt,Analysis,2
explore,Analysis,2
blueprint,Analysis,2
arrange,Analysis,2
query,Analysis,2
edit,Analysis,1
prove,Analysis,1
isolate,Analysis,1
reconcile,Analysis,1
troubleshoot,Analysis,1
sketch,Analysis,1
create,Analysis,1
summarize,Analysis,1
dramatize,Analysis,1
employ,Analysis,1
inquire,Analysis,1
link,Analysis,1
abstract,Analysis,1
establish,Analysis,1
organize,Analysis,1
compute,Analysis,1
devise,Analysis,1
setup,Analysis,1
moderate,Analysis,1
delegate,Analysis,1
research,Analysis,1
model,Analysis,1
practise,Analysis,1
operate,Analysis,1
demonstrate,Analysis,1
schedule,Analysis,1
check,Analysis,1
use,Analysis,1
chunk,Analysis,1
choose,Analysis,1
scrutinize,Analysis,1
chart,Analysis,1
apply,Analysis,1
allow,Analysis,1
extrapolate,Analysis,1
recognize,Analysis,1
show,Analysis,1
modify,Analysis,1
administer,Analysis,1
review,Analysis,1
change,Analysis,1
monitor,Analysis,1
direct,Analysis,1
corroborate,Analysis,1
produce,Analysis,1
negotiate,Analysis,1
probe,Analysis,1
accept,Analysis,1
design,Analysis,1
layout,Analysis,1
interpret,Analysis,1
extract,Analysis,1
manipulate,Analysis,1
category,Analysis,1
focus,Analysis,1
write,Analysis,1
predict,Analysis,1
resolve,Analysis,1
design,Synthesis,20
create,Synthesis,19
formulate,Synthesis,18
plan,Synthesis,17
compose,Synthesis,16
construct,Synthesis,16
develop,Synthesis,13
combine,Synthesis,12
assemble,Synthesis,12
propose,Synthesis,11
devise,Synthesis,10
arrange,Synthesis,10
organize,Synthesis,10
collect,Synthesis,10
rearrange,Synthesis,9
prepare,Synthesis,9
reconstruct,Synthesis,9
invent,Synthesis,9
generate,Synthesis,8
modify,Synthesis,8
write,Synthesis,8
categorize,Synthesis,7
rewrite,Synthesis,7
relate,Synthesis,7
compile,Synthesis,7
revise,Synthesis,7
reorganize,Synthesis,7
set up,Synthesis,6
summarize,Synthesis,5
manage,Synthesis,5
generalize,Synthesis,5
integrate,Synthesis,5
explain,Synthesis,5
produce,Synthesis,5
originate,Synthesis,4
tell,Synthesis,4
incorporate,Synthesis,4
facilitate,Synthesis,4
hypothesize,Synthesis,4
substitute,Synthesis,3
specify,Synthesis,3
improve,Synthesis,3
format,Synthesis,3
correspond,Synthesis,3
model,Synthesis,3
depict,Synthesis,3
synthesize,Synthesis,3
refer,Synthesis,3
comply,Synthesis,3
enhance,Synthesis,2
import,Synthesis,2
overhaul,Synthesis,2
animate,Synthesis,2
predict,Synthesis,2
adapt,Synthesis,2
cultivate,Synthesis,2
code,Synthesis,2
interface,Synthesis,2
join,Synthesis,2
handle,Synthesis,2
anticipate,Synthesis,2
portray,Synthesis,2
express,Synthesis,2
budget,Synthesis,2
cope,Synthesis,2
debug,Synthesis,2
perform,Synthesis,2
communicate,Synthesis,2
outline,Synthesis,2
prescribe,Synthesis,2
initiate,Synthesis,2
network,Synthesis,2
program,Synthesis,2
lecture,Synthesis,2
dictate,Synthesis,2
setup,Synthesis,1
advise,Synthesis,1
document,Synthesis,1
gather,Synthesis,1
derive,Synthesis,1
abstract,Synthesis,1
expand,Synthesis,1
establish,Synthesis,1
collaborate,Synthesis,1
conduct,Synthesis,1
contribute,Synthesis,1
coordinate,Synthesis,1
compare,Synthesis,1
speculate,Synthesis,1
simulate,Synthesis,1
progress,Synthesis,1
forecast,Synthesis,1
instruct,Synthesis,1
structure,Synthesis,1
intervene,Synthesis,1
frame,Synthesis,1
measure,Synthesis,1
estimate,Synthesis,1
recommend,Synthesis,1
negotiate,Synthesis,1
consolidate,Synthesis,1
choose,Synthesis,1
contrast,Synthesis,1
reframe,Synthesis,1
imagine,Synthesis,1
individualize,Synthesis,1
recognize,Synthesis,1
solve,Synthesis,1
role-play,Synthesis,1
review,Synthesis,1
arbitrate,Synthesis,1
teach,Synthesis,1
supervise,Synthesis,1
assess,Synthesis,1
counsel,Synthesis,1
exchange,Synthesis,1
make up,Synthesis,1
