Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
diverge,True,1,000100,An,,True,1,000100,An,,0.258,0.518,0.126,0.916,0.146,0.53,0.257774,0.835079,0,0.518102,0.651832,0,0.125853,0.554974,0,0.915811,0.667539,1,0.145928,0.670157,0,0.529604,0.759162,0,0,0,0,1,0,0
diversify,True,3,000111,Sn,"An, Ev",True,3,000111,Sn,"An, Ev",0.238,0.422,0.334,0.684,0.836,0.82,0.237789,0.835079,0,0.421941,0.651832,0,0.334258,0.554974,0,0.68394,0.667539,1,0.835647,0.670157,1,0.81958,0.759162,1,0,0,0,1,1,1
divert,True,1,001000,Ap,,True,1,001000,Ap,,0.13,0.203,0.792,0.475,0.333,0.052,0.129791,0.835079,0,0.202858,0.651832,0,0.791925,0.554974,1,0.475387,0.667539,0,0.333124,0.670157,0,0.05162,0.759162,0,0,0,1,0,0,0
divulge,True,1,001000,Ap,,True,1,001000,Ap,,0.451,0.203,0.752,0.089,0.113,0.054,0.451264,0.835079,0,0.202826,0.651832,0,0.751746,0.554974,1,0.088872,0.667539,0,0.112632,0.670157,0,0.053505,0.759162,0,0,0,1,0,0,0
dodge,False,0,000000,,,True,2,001001,Ev,Ap,0.421,0.365,0.494,0.196,0.198,0.741,0.421178,0.835079,0,0.364769,0.651832,0,0.494427,0.554974,0,0.19567,0.667539,0,0.198097,0.670157,0,0.74087,0.759162,0,0,0,0,0,0,0
domesticate,True,2,001010,Ap,Sn,True,2,001010,Ap,Sn,0.016,0.042,0.859,0.271,0.853,0.323,0.015837,0.835079,0,0.042131,0.651832,0,0.858929,0.554974,1,0.27148,0.667539,0,0.85281,0.670157,1,0.322797,0.759162,0,0,0,1,0,1,0
dominate,True,1,000001,Ev,,True,3,001011,Ev,"Ap, Sn",0.606,0.531,0.696,0.351,0.595,0.771,0.605718,0.835079,0,0.530824,0.651832,0,0.695812,0.554974,1,0.351432,0.667539,0,0.59505,0.670157,0,0.771315,0.759162,1,0,0,0,0,0,1
donate,True,1,001000,Ap,,True,1,001000,Ap,,0.421,0.381,0.987,0.057,0.535,0.087,0.420983,0.835079,0,0.381239,0.651832,0,0.986935,0.554974,1,0.057454,0.667539,0,0.535494,0.670157,0,0.086771,0.759162,0,0,0,1,0,0,0
doubt,False,0,000000,,,True,3,010101,Ev,"Cm, An",0.614,0.631,0.067,0.581,0.193,0.679,0.613867,0.835079,0,0.631032,0.651832,0,0.067464,0.554974,0,0.580541,0.667539,0,0.193091,0.670157,0,0.679191,0.759162,0,0,0,0,0,0,0
downgrade,True,1,000001,Ev,,True,2,000011,Ev,Sn,0.007,0.067,0.295,0.065,0.603,0.842,0.006987,0.835079,0,0.067104,0.651832,0,0.295317,0.554974,0,0.06514,0.667539,0,0.60289,0.670157,0,0.841914,0.759162,1,0,0,0,0,0,1
download,True,1,001000,Ap,,True,1,001000,Ap,,0.373,0.05,0.606,0.11,0.153,0.212,0.372987,0.835079,0,0.049745,0.651832,0,0.605799,0.554974,1,0.110232,0.667539,0,0.153421,0.670157,0,0.21239,0.759162,0,0,0,1,0,0,0
