Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
abandon,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.369,0.211,0.519,0.478,0.025,0.885,0.36939,0.853591,0,0.211251,0.825967,0,0.51945,0.585635,0,0.47821,0.629834,0,0.024986,0.662983,0,0.88527,0.81768,1,0,0,0,0,0,1
abbreviate,True,1,001000,Ap,,True,1,001000,Ap,,0.408,0.669,0.629,0.094,0.432,0.352,0.407975,0.853591,0,0.669481,0.825967,0,0.628857,0.585635,1,0.093584,0.629834,0,0.432041,0.662983,0,0.351561,0.81768,0,0,0,1,0,0,0
abet,True,1,001000,Ap,,True,1,001000,Ap,,0.697,0.565,0.847,0.012,0.177,0.488,0.696864,0.853591,0,0.565133,0.825967,0,0.846938,0.585635,1,0.012106,0.629834,0,0.177462,0.662983,0,0.487531,0.81768,0,0,0,1,0,0,0
abide,True,1,000001,Ev,,True,1,000001,Ev,,0.448,0.193,0.418,0.178,0.324,0.827,0.44794,0.853591,0,0.193206,0.825967,0,0.418045,0.585635,0,0.178255,0.629834,0,0.324076,0.662983,0,0.827269,0.81768,1,0,0,0,0,0,1
ablate,True,1,000010,Sn,,True,1,000010,Sn,,0.449,0.55,0.466,0.254,0.706,0.284,0.448973,0.853591,0,0.550175,0.825967,0,0.466354,0.585635,0,0.253695,0.629834,0,0.705949,0.662983,1,0.284494,0.81768,0,0,0,0,0,1,0
abort,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.314,0.122,0.511,0.093,0.561,0.845,0.314347,0.853591,0,0.122343,0.825967,0,0.51111,0.585635,0,0.092681,0.629834,0,0.560814,0.662983,0,0.844861,0.81768,1,0,0,0,0,0,1
abound,True,1,100000,Kn,,True,2,100010,Kn,Sn,0.895,0.542,0.261,0.21,0.641,0.128,0.894738,0.853591,1,0.541887,0.825967,0,0.260893,0.585635,0,0.20961,0.629834,0,0.640863,0.662983,0,0.127986,0.81768,0,1,0,0,0,0,0
absorb,True,1,001000,Ap,,True,1,001000,Ap,,0.385,0.051,0.975,0.374,0.034,0.064,0.385085,0.853591,0,0.05067,0.825967,0,0.974631,0.585635,1,0.374163,0.629834,0,0.033696,0.662983,0,0.064041,0.81768,0,0,0,1,0,0,0
abut,True,1,000001,Ev,,True,1,000001,Ev,,0.561,0.661,0.243,0.056,0.52,0.842,0.561137,0.853591,0,0.661171,0.825967,0,0.242936,0.585635,0,0.05602,0.629834,0,0.519963,0.662983,0,0.842401,0.81768,1,0,0,0,0,0,1
accelerate,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.149,0.134,0.905,0.268,0.786,0.011,0.149171,0.853591,0,0.133521,0.825967,0,0.905377,0.585635,1,0.26781,0.629834,0,0.785936,0.662983,1,0.01105,0.81768,0,0,0,1,0,0,0
