Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
eat,True,1,001000,Ap,,True,3,101100,Kn,"Ap, An",0.851,0.081,0.787,0.598,0.032,0.354,0.851226,0.853403,0,0.080554,0.827225,0,0.786995,0.581152,1,0.598264,0.63089,0,0.0318,0.651832,0,0.353507,0.772251,0,0,0,1,0,0,0
eavesdrop,True,1,000100,An,,True,1,000100,An,,0.315,0.427,0.094,0.716,0.404,0.162,0.314992,0.853403,0,0.426855,0.827225,0,0.094162,0.581152,0,0.716492,0.63089,1,0.403724,0.651832,0,0.162053,0.772251,0,0,0,0,1,0,0
echo,True,1,100000,Kn,,True,1,100000,Kn,,0.921,0.377,0.048,0.214,0.172,0.008,0.921108,0.853403,1,0.376534,0.827225,0,0.048163,0.581152,0,0.21369,0.63089,0,0.171557,0.651832,0,0.007853,0.772251,0,1,0,0,0,0,0
edge,True,2,110000,Kn,Cm,True,4,110110,Kn,"Cm, An, Sn",0.92,0.863,0.382,0.616,0.56,0.33,0.920351,0.853403,1,0.863346,0.827225,1,0.381878,0.581152,0,0.616215,0.63089,0,0.559821,0.651832,0,0.330477,0.772251,0,1,1,0,0,0,0
educate,True,2,001010,Ap,Sn,True,2,001010,Ap,Sn,0.372,0.145,0.737,0.021,0.737,0.111,0.372187,0.853403,0,0.144898,0.827225,0,0.737173,0.581152,1,0.020935,0.63089,0,0.736995,0.651832,1,0.110925,0.772251,0,0,0,1,0,1,0
eject,True,1,001000,Ap,,True,2,001001,Ap,Ev,0.255,0.081,0.906,0.136,0.105,0.684,0.255056,0.853403,0,0.081078,0.827225,0,0.905703,0.581152,1,0.135845,0.63089,0,0.105033,0.651832,0,0.684275,0.772251,0,0,0,1,0,0,0
elapse,True,2,000110,An,Sn,True,2,000110,An,Sn,0.149,0.677,0.197,0.818,0.786,0.496,0.149215,0.853403,0,0.676774,0.827225,0,0.196611,0.581152,0,0.818344,0.63089,1,0.786345,0.651832,1,0.495756,0.772251,0,0,0,0,1,1,0
elect,True,1,001000,Ap,,True,3,001101,Ap,"An, Ev",0.467,0.206,0.921,0.568,0.106,0.768,0.466641,0.853403,0,0.206395,0.827225,0,0.920986,0.581152,1,0.568208,0.63089,0,0.106258,0.651832,0,0.76777,0.772251,0,0,0,1,0,0,0
elevate,True,2,001010,Ap,Sn,True,2,001010,Ap,Sn,0.149,0.116,0.703,0.184,0.698,0.443,0.149215,0.853403,0,0.116422,0.827225,0,0.702689,0.581152,1,0.184133,0.63089,0,0.698033,0.651832,1,0.443111,0.772251,0,0,0,1,0,1,0
elicit,True,1,001000,Ap,,True,1,001000,Ap,,0.149,0.082,0.674,0.019,0.519,0.602,0.149215,0.853403,0,0.082119,0.827225,0,0.67356,0.581152,1,0.018696,0.63089,0,0.519475,0.651832,0,0.602404,0.772251,0,0,0,1,0,0,0
eliminate,True,1,001000,Ap,,True,3,001101,Ap,"An, Ev",0.207,0.153,0.695,0.547,0.279,0.679,0.206506,0.853403,0,0.152938,0.827225,0,0.694513,0.581152,1,0.54719,0.63089,0,0.278516,0.651832,0,0.679431,0.772251,0,0,0,1,0,0,0
elongate,True,2,001010,Ap,Sn,True,2,001010,Ap,Sn,0.149,0.427,0.824,0.34,0.78,0.013,0.149215,0.853403,0,0.426739,0.827225,0,0.824076,0.581152,1,0.340149,0.63089,0,0.779872,0.651832,1,0.012564,0.772251,0,0,0,1,0,1,0
elucidate,True,2,000101,Ev,An,True,3,010101,Ev,"Cm, An",0.149,0.774,0.252,0.909,0.194,0.935,0.149215,0.853403,0,0.774447,0.827225,0,0.251932,0.581152,0,0.908955,0.63089,1,0.193936,0.651832,0,0.935169,0.772251,1,0,0,0,1,0,1
elude,True,1,001000,Ap,,True,1,001000,Ap,,0.374,0.183,0.886,0.038,0.257,0.438,0.373648,0.853403,0,0.183449,0.827225,0,0.885695,0.581152,1,0.037894,0.63089,0,0.256831,0.651832,0,0.438495,0.772251,0,0,0,1,0,0,0
elute,True,1,001000,Ap,,True,2,011000,Cm,Ap,0.278,0.814,0.701,0.327,0.264,0.161,0.27848,0.853403,0,0.814369,0.827225,0,0.701087,0.581152,1,0.327312,0.63089,0,0.26352,0.651832,0,0.161059,0.772251,0,0,0,1,0,0,0
emanate,True,1,001000,Ap,,True,1,001000,Ap,,0.635,0.681,0.672,0.047,0.402,0.008,0.634718,0.853403,0,0.680912,0.827225,0,0.672129,0.581152,1,0.046981,0.63089,0,0.402025,0.651832,0,0.007853,0.772251,0,0,0,1,0,0,0
embark,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.549,0.535,0.858,0.374,0.785,0.055,0.548765,0.853403,0,0.535402,0.827225,0,0.858024,0.581152,1,0.37378,0.63089,0,0.784711,0.651832,1,0.054716,0.772251,0,0,0,1,0,0,0
embed,True,1,001000,Ap,,True,1,001000,Ap,,0.586,0.507,0.741,0.494,0.109,0.222,0.58585,0.853403,0,0.506584,0.827225,0,0.74054,0.581152,1,0.49359,0.63089,0,0.10924,0.651832,0,0.22184,0.772251,0,0,0,1,0,0,0
embody,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.327,0.379,0.853,0.035,0.784,0.042,0.327278,0.853403,0,0.378849,0.827225,0,0.853341,0.581152,1,0.035348,0.63089,0,0.783766,0.651832,1,0.042259,0.772251,0,0,0,1,0,0,0
embrace,True,2,000011,Sn,Ev,True,2,000011,Sn,Ev,0.252,0.663,0.181,0.053,0.784,0.783,0.252229,0.853403,0,0.663491,0.827225,0,0.181349,0.581152,0,0.052819,0.63089,0,0.78423,0.651832,1,0.78287,0.772251,1,0,0,0,0,1,1
emerge,True,1,000010,Sn,,True,1,000010,Sn,,0.251,0.026,0.308,0.459,0.932,0.616,0.251414,0.853403,0,0.026178,0.827225,0,0.307994,0.581152,0,0.459457,0.63089,0,0.931554,0.651832,1,0.616104,0.772251,0,0,0,0,0,1,0
emit,True,1,000010,Sn,,True,1,000010,Sn,,0.459,0.542,0.419,0.114,0.83,0.521,0.459042,0.853403,0,0.541867,0.827225,0,0.419303,0.581152,0,0.11424,0.63089,0,0.829794,0.651832,1,0.520994,0.772251,0,0,0,0,0,1,0
empathize,True,1,000010,Sn,,True,3,010011,Sn,"Cm, Ev",0.662,0.825,0.222,0.063,0.878,0.814,0.661633,0.853403,0,0.825186,0.827225,0,0.221983,0.581152,0,0.062968,0.63089,0,0.877513,0.651832,1,0.814355,0.772251,1,0,0,0,0,1,0
emphasize,True,1,000010,Sn,,True,2,010010,Cm,Sn,0.485,0.813,0.151,0.326,0.719,0.221,0.484844,0.853403,0,0.8128,0.827225,0,0.150949,0.581152,0,0.326253,0.63089,0,0.719078,0.651832,1,0.22056,0.772251,0,0,0,0,0,1,0
empower,True,2,001010,Ap,Sn,True,2,001010,Ap,Sn,0.149,0.36,0.905,0.033,0.865,0.368,0.149215,0.853403,0,0.359847,0.827225,0,0.90479,0.581152,1,0.032789,0.63089,0,0.865161,0.651832,1,0.368289,0.772251,0,0,0,1,0,1,0
emulate,True,1,001000,Ap,,True,3,101010,Ap,"Kn, Sn",0.768,0.435,0.92,0.064,0.572,0.025,0.767869,0.853403,0,0.43531,0.827225,0,0.919733,0.581152,1,0.064277,0.63089,0,0.571862,0.651832,0,0.025089,0.772251,0,0,0,1,0,0,0
enable,True,1,000010,Sn,,True,2,000110,Sn,An,0.149,0.154,0.27,0.662,0.856,0.443,0.149215,0.853403,0,0.154386,0.827225,0,0.270304,0.581152,0,0.661628,0.63089,1,0.855817,0.651832,1,0.443146,0.772251,0,0,0,0,0,1,0
enact,True,2,001010,Sn,Ap,True,2,001010,Sn,Ap,0.149,0.147,0.805,0.029,0.821,0.193,0.149215,0.853403,0,0.147401,0.827225,0,0.80534,0.581152,1,0.029319,0.63089,0,0.821024,0.651832,1,0.192894,0.772251,0,0,0,1,0,1,0
encapsulate,True,1,000010,Sn,,True,2,001010,Sn,Ap,0.149,0.055,0.588,0.038,0.828,0.488,0.149215,0.853403,0,0.055362,0.827225,0,0.587882,0.581152,1,0.037794,0.63089,0,0.828394,0.651832,1,0.487817,0.772251,0,0,0,0,0,1,0
