,Kn,Cm,Ap,An,Sn,Ev
Kn,-1.1920928955078125e-07,0.10197287797927856,0.08201789855957031,0.08471167087554932,0.10960882902145386,0.11067855358123779
Cm,0.10197287797927856,0.0,0.06948530673980713,0.06473815441131592,0.07463520765304565,0.09773355722427368
Ap,0.08201789855957031,0.06948530673980713,5.960464477539063e-08,0.031257688999176025,0.029417812824249268,0.058594584465026855
An,0.08471167087554932,0.06473815441131592,0.031257688999176025,0.0,0.0405268669128418,0.04001671075820923
Sn,0.10960882902145386,0.07463520765304565,0.029417812824249268,0.0405268669128418,0.0,0.05157595872879028
Ev,0.11067855358123779,0.09773355722427368,0.058594584465026855,0.04001671075820923,0.05157595872879028,0.0
