,Kn,Cm,Ap,An,Sn,Ev
Kn,1.1920928955078125e-07,0.07684636116027832,0.08753591775894165,0.07935595512390137,0.10846346616744995,0.10542166233062744
Cm,0.07684636116027832,-1.1920928955078125e-07,0.05822551250457764,0.04416924715042114,0.07238179445266724,0.07347702980041504
Ap,0.08753591775894165,0.05822551250457764,-1.1920928955078125e-07,0.03569906949996948,0.02703726291656494,0.06102818250656128
An,0.07935595512390137,0.04416924715042114,0.03569906949996948,0.0,0.047725677490234375,0.03895217180252075
Sn,0.10846346616744995,0.07238179445266724,0.02703726291656494,0.047725677490234375,0.0,0.05903369188308716
Ev,0.10542166233062744,0.07347702980041504,0.06102818250656128,0.03895217180252075,0.05903369188308716,5.960464477539063e-08
