,Kn,Cm,Ap,An,Sn,Ev
Kn,-2.384185791015625e-07,0.1627371907234192,0.25096237659454346,0.2602050304412842,0.3007415533065796,0.26603734493255615
Cm,0.1627371907234192,1.1920928955078125e-07,0.1986919641494751,0.14505839347839355,0.254740834236145,0.15148061513900757
Ap,0.25096237659454346,0.1986919641494751,0.0,0.2537912130355835,0.13267892599105835,0.18680262565612793
An,0.2602050304412842,0.14505839347839355,0.2537912130355835,0.0,0.3006383776664734,0.18068325519561768
Sn,0.3007415533065796,0.254740834236145,0.13267892599105835,0.3006383776664734,0.0,0.2224547266960144
Ev,0.26603734493255615,0.15148061513900757,0.18680262565612793,0.18068325519561768,0.2224547266960144,0.0
